text,category,price
"slime 8oz (FREE SHIPPING) floam grey Shipping. our space grey floam smells like pears! it's extra stretchy, crunchy and smells yummy! it's great to relieve anxiety, ASMR, and therapeutic play! FREE SHIPPING",Kids/Toys/Arts & Crafts,6.0
KKW Origins Price Is [rm] Brand is Kylie Cosmetics. By Kylie cosmetics,Beauty/Makeup/Makeup Sets,25.0
Daniel Rainn 1X blouse tunic Brand is Nordstrom. Gorgeous tunic/ blouse women's size 1X Dusty rose-ish mauve-ish color So cute Great condition I wore with leggings and boots and a sweater over Daniel Rainn from Nordstrom,Women/Tops & Blouses/Tunic,14.0
Women's Size 6 Flats Brand is Aeropostale.  Shipping. Mossimo Supply Co zebra print flats and Aeropostale black and white striped TOMs-style flats. Both have significant wear.,Women/Shoes/Flats,5.0
Pink heart necklaceLike new!,Women/Jewelry/Necklaces,29.0
"Bubble Mailers Shipping. (40) 6.5x10 BUBBLE (Hot Pink, Purple) WATERPROOF POLY BUBBLE MAILERS ⚫️ Lined with bubble wrap ⚫️ HIGH QUALITY Self Sealing Mailers ⚫️ UPS, FedEx & USPS APPROVED ⚫️ Pressure sensitive adhesive provides a high strength durable closure, water and dirt resistant ⚫️ Lightweight- saves on postage",Other/Office supplies/Shipping Supplies,20.0
"NWT MK Wallet Case Brown Brand is Michael Kors. STYLE#: 35H5GELZ3B Color: Brown From MICHAEL Michael Kors FULTON collection, this multi-function case features: MK Signature PVC Michael Kors logo plate detail on front zip around closure Gold tone hardware cell phone pocket, 1 zippered/coin pocket, 1 slit pocket, 5 card slots, and 1 ID window inside 7.2(L) x 3.75(H) x 1(D)""; 8"" wristlet drop Retail price [rm] Bundle & Save $$$$$$$ Check out my closet",Women/Women's Accessories/Wallets,76.0
"VS PINK MEDIUM PANTY BUNDLE ❤️❤️❤️❤️ Brand is PINK. Brand new with tags or with online packaging (13) Victoria's Secret pink Panty bundle Boy shorts, thongs, and cheekster panties All size medium 1- medium sleep thermal shorts begonia 1- large slippers 9/10 1- sleep TSHIRT green medium Price is firm No free ship",Women/Underwear/Panties,80.0
"Wildfox Couture Baggy Beach Jumper Large Brand is Wildfox Couture. White sweater from Wildfox. Does show signs of wear, but still a great sweater. ✨Price is negotiable. I will bundle items and ship according to the weight! ✨ Feel free to ask any questions! Check out my other listings. Approx. Measurements: Across bust: 22 in Length: 25 in Arm length: 28.5 in",Women/Sweaters/Crewneck,20.0
Bundle for Jessica Shipping. Supernatural seasons 5-8. Free shipping,Electronics/Media/DVD,30.0
Chevron dressEUC SIZE XL NO FLAWS,"Women/Dresses/Above Knee, Mini",7.0
AUTHENTIC kylighter Strawberry shortcake Brand is Kylie Cosmetics.  Shipping. Brand new AUTHENTIC See last photo for proof of purchase This one is currently sold out on her site My price is firm thanks,Beauty/Makeup/Face,20.0
Auth UGG Classic Short Sand Boots 6 Brand is UGG Australia. Brand new in box Authentic purchased by me from UGG. Price is firm don't ask to lower or for free ship. I will block you.,Women/Shoes/Boots,106.0
Arbonne 7 Day Cleanse Brand is Arbonne. New in packaging,Beauty/Skin Care/Face,28.0
"Vs pink campus long sleeve Brand is PINK. Worn a couple times , great condition no flaws",Women/Sweaters/Crewneck,16.0
5 Victoria secret pink pants small Brand is PINK. Victoria secret sweat pants small and other sizes 2 Pink 1 orange 1 green 1 yellow This is a vintage pants got it back in 2007 Has normal wear,Women/Athletic Apparel/Tracksuits & Sweats,17.0
Peridot And Diamond RingNo description yet,Women/Jewelry/Rings,11.0
lion king plush toysall in great condition,Kids/Toys/Stuffed Animals & Plush,10.0
Lokai Bracelet Breast Cancer Pink Size M Brand is Lokai.  Shipping. Size Medium breast cancer edition pink lokai Bracelet,Women/Jewelry/Bracelets,6.0
"Unicorn Elegant LuLaRoe Amelia Brand is LuLaRoe.  Shipping. Brand new with tags. Size medium, stretchy and comfortable fabric. Tags still attached. Smoke free, pet free home. Price FIRM.",Women/Dresses/Knee-Length,54.0
Forever 21 jumpsuit Brand is FOREVER 21. Brand new jump suit New with tags Super cute,"Women/Dresses/Above Knee, Mini",16.0
Dragonite and rayquaza Brand is Pokemon.  Shipping. No description yet,Kids/Toys/Games,5.0
Mary Kay Belara Eau De Parfum Brand is Mary Kay. Mary Kay Belara Eau De Parfum New in box New price [rm] 1.7 fl.oz.,Beauty/Fragrance/Women,18.0
3 Sets Of Handmade Magnetic Paper dolls Shipping. They all come with their own clothing and accessories. Please look at my other listings for all the clothing and accessories,Kids/Toys/Dolls & Accessories,23.0
"Nike Pro Leggings Brand is Nike. Double band, hyperwarm, fit and support is great! I absolutely luv the way these leggings fit, only reason I'm selling is I wear a size M.","Women/Athletic Apparel/Pants, Tights, Leggings",21.0
Box of Shopkins!New with tags!,Kids/Toys/Dolls & Accessories,21.0
"Mini wine holderBarbie wine holder. The first picture is of the one I have set up the second picture is the one you will receive with instructions. I will include 7 wines, 2 cups and an ice bucket",Kids/Toys/Dolls & Accessories,14.0
Gold Cross Necklace Shipping. Product Material:Alloy  Necklace Length 18 inch + 2.25 Extension  Please look at picture 3 for size reference,Women/Jewelry/Necklaces,7.0
Mac Brand is MAC. Limited edition Sold out Archie's Girl Girl Next Door Luster No box,Beauty/Makeup/Lips,15.0
T-Shirt Bundle Brand is Urban Outfitters. SOLD,Women/Tops & Blouses/T-Shirts,24.0
"VS PINK TANK TOP Brand is PINK.  Shipping. Hardly used, comfy work out tank! Baby blue and has just been hanging in my closet. • • • Tag. PINK, Victoria Secret, Aerie, Lululemon",Women/Athletic Apparel/Shirts & Tops,8.0
Little girl boots Shipping. No description yet,Kids/Girls 2T-5T/Shoes,23.0
"Lululemon 8 Brand is Lululemon. In great condition, size 8",Women/Athletic Apparel/Shirts & Tops,22.0
"Nike Funnel Neck Hoodie Brand is Nike. Really pretty dark teal hoodie, only been worn a couple times, really good condition and super comfortable. It's an extra small but it's very loose and comfy so it can fit a small or even a medium!",Women/Athletic Apparel/Jackets,37.0
"Cole Hann nantucket camp Moccasins Brand is Cole Haan. Navy patent, women's, ships with or without box",Women/Shoes/Loafers & Slip-Ons,9.0
"HOLD FOR TYERRA 60 pcs 6x9 poly mailer Shipping. Brand new, white only.",Other/Office supplies/Shipping Supplies,8.0
Funko pop exclusive bayley Brand is Funko.  Shipping. Wwe exclusive funko pop,Kids/Toys/Action Figures & Statues,20.0
"Old navy active Capri leggings M Brand is Old Navy. Black. Capri legging. Wide waist band. Inner front pocket for a key etc. Thicker material. EUC. Inseam: about 20 1/2"" Front rise: about 7 1/2"" Across waist: about 13 1/2""","Women/Athletic Apparel/Pants, Tights, Leggings",16.0
Large UA sweats Brand is Under Armour.  Shipping. Like new!,"Women/Athletic Apparel/Pants, Tights, Leggings",25.0
"Men's Affliction Tank T-Shirt Brand is Affliction. Bundled 2 cool shirts as good as new!! Men's Affliction Tank Top Rebel Saints T shirt *Smoke & Pet Free home The Buckle, Affliction, Archaic, BKE, American Fighter, Skulls",Men/Tops/T-shirts,20.0
"SOLD Sleek Champagne MK WalletThis wallet is new in the package. Never been used. Beautiful Champagne and gold. Single zip closure with several compartments for cash, change and cards. Measures 4"" tall x 8"" wide. 1 1/4"" depth. I bought it as authentic but im not sure if it is. Still a very nice wallet for the price. Retail was [rm].",Women/Women's Accessories/Wallets,21.0
"Lace up front one piece blueBrand new, never worn. Hygienic liner still attached. Beautiful blue one piece swim suit. Laces up the front and is adjustable. Such a hot piece for summer time. I have this in a medium and a small.",Women/Swimwear/One-Piece,27.0
NWT Leggings Lot OS Lot of 6 Shipping. Leggings OS lot of 6 pairs Specifications 92% Polyester 8% Spandex (similar to LuLaRoe and Agnes and Dora) OS Size 2-12 Buttery soft stretchy silky fabric Breathable fabric to provide an effortlessly comfy and flawless fit Seamless comfort Elastic Waistband Note: Color may be lighter or darker due to the different PC display One size generally fits sizes 2-12 Plus one size generally fits sizes 14-20 Fit can vary with body types These are Not Lularoe,"Women/Athletic Apparel/Pants, Tights, Leggings",33.0
Adidas NMD R1 champs exclusive color Brand is Adidas. 100% authentic. Fits women's 6.5-7,Women/Shoes/Fashion Sneakers,209.0
"Rubik's Cube | 3x3x3 Brand is Hasbro Games.  Shipping. Used but is in pretty good condition, I just don't use it a lot now.",Kids/Toys/Games,6.0
Zelda Breath Of The Wild Guardian Amiibo Shipping. Brand new factory sealed very hard to find. We ship every day but Sunday.,Electronics/Video Games & Consoles/Games,33.0
On Hold Viper Colorpop Brand is ColourPop Cosmetics.  Shipping. Listing is for viper only new no box,Beauty/Makeup/Makeup Palettes,9.0
Pink by VS tank Brand is PINK.  Shipping. Palm trees and white Size S Good condition Please ask question before purchasing!,"Women/Tops & Blouses/Tank, Cami",14.0
☆Stars belly ring☆ Shipping. Sexy Dangle Belly Button Ring Stainless Steel (Gold Plated) High Quality Cubic Zirconia,Women/Jewelry/Necklaces,5.0
"14k gold plated necklaceExcellent quality 14k gold plated necklace 20"" long, 3.2mm",Other/Other/Other,33.0
Spinner Shipping. New Comes with carrying case,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,11.0
Lularoe perfect t shirt Brand is LuLaRoe.  Shipping. BNWT! Vibrant colors!! Leggings material!! So beautiful!! Xs,Women/Tops & Blouses/T-Shirts,33.0
Large 9 month bundle Brand is Carter's. Nine month baby girl bundle all in excellent condition 12 pairs of pants 7 long sleeve onesies 4 long sleeve tops and 2 sweaters,Kids/Girls 0-24 Mos/One-Pieces,21.0
Authentic Burberry Headband(wide)+ CLIP Brand is Burberry.  Shipping. Both items authentic Edited listing for @mariya.boatman,Women/Women's Accessories/Hair Accessories,70.0
Fox top Brand is Fox Racing. Purchased from tillys but fox brand Great condition-no flaws It's a like an army green color than black sleeves,Women/Tops & Blouses/T-Shirts,14.0
VS lightweight sport bra Brand is Victoria's Secret. New Vsx Victoria secret 36C Color Sold out online,Women/Underwear/Bras,19.0
Missimo supply tank top Brand is Mossimo Supply Co..  Shipping. No description yet,"Women/Tops & Blouses/Tank, Cami",9.0
For mrsjd - MAC liner & shadow Brand is MAC. This includes a MAC eye liner in 'engraved' and a MAC shadow in 'tempting',Beauty/Makeup/Eyes,14.0
"Coach wallet on hold Brand is Coach.  Shipping. 100% authentic Coach signature wallet. Gently used Coach signature wallet with blue interior. This wallet has 12 credit card slots and 1 I.D. slot. This wallet also has a coin slot in the bag with 3 slots to hold cash. The wallet is also a button closure. The wallet has minor wear to the corners and coach sign on front, still has many years of use ahead.",Women/Women's Accessories/Wallets,25.0
Brand new vans-unopened box Brand is VANS. Flamingo vans (brand new) size 7.0 mens and size 9.0 womens. Unisex pattern,Women/Shoes/Fashion Sneakers,41.0
"Lululemon size 4 black shorts Brand is lululemon athletica. Great condition waist is 12""",Women/Athletic Apparel/Shorts,20.0
"iPhone 4s Brand is Apple. Black iPhone 4s Updated to iOS 9.3.5 Unlocked and will be sent charged DOESN'T COME WITH CHARGER comes with free gift to go with it:) phone has 13 gb,but you can purchase more. - READ BEFORE PURCHASING: the only issue with it is that the top on/off button doesn't work well. it can be fixed, but i didn't feel like taking it in. there is a button that you can turn on in settings to turn it off manually. - bundle and save! - aesthetic tumblr melanie martinez kawaii asos crybaby urban outfitters coach japan japanese versace coachella vintage gems crystals healing arianators kardashian asmr slime Apple iPhone tech phone android cheap phone four",Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,46.0
Drink mixer mini Shipping. No description yet,Home/Kitchen & Dining/Dining & Entertaining,7.0
Columbia woman's Lake Plush fleece. Brand is Columbia. Super comfy and warm new with tags. Size small great color! Retails [rm]. Gorgeous plum color!,Women/Athletic Apparel/Jackets,38.0
American Girl Dress Brand is American Girl ®. American Girl doll dress in good condition. Some marking on ribbon but that's it! Originally worn by Samantha.,Kids/Toys/Dolls & Accessories,10.0
Size 4 Jordans. Shipping. Toddler size 4 Jordan's. There is some wear on the toe (shown in pic 1).,Kids/Boys 0-24 Mos/Shoes,10.0
Bottega Veneta Sun glasses Brand is Bottega Veneta. Good condition,Women/Women's Accessories/Sunglasses,20.0
Kate Spade Tote Purse Brand is kate spade new york. In good condition. Has a zipper to close the bag and a zipper pocket inside the bag. I've cleaned out the inside but there are still a few little marks on the inside fabric not very noticeable though. Great purse! Bought for [rm],Women/Women's Handbags/Shoulder Bag,25.0
Mac Bundle mascara & black eyeliner Brand is MAC.  Shipping. Mac items 2 pencils One mascara 1 love joy blush,Beauty/Makeup/Eyes,20.0
Striped Ralph Lauren polo 3T Brand is Ralph Lauren. Navy Light Blue Yellow Res Blue stripes Polo Ralph Lauren 3T,Kids/Boys 2T-5T/Tops & T-Shirts,10.0
Small Hi-Low Shipping. Cute dress very light and airy Today only buy 3 items the cheapest is free! Comment on the ones you want and I will create a bundle!,"Women/Dresses/Above Knee, Mini",8.0
iPhone 7+ Hard/Soft Clear Case Shipping. Design For Apple iPhone 7 Plus. Hard (ultra clear) back. Soft TPU (gel) bumber. One piece case. PREMIUM PROTECTION - featuring two layers of protection: a shock-absorbing frame. -Shock Absorbing -Scratch Resistant -Premium TPU Bumper (rubber/gel) -Hard Back Polycarbonate panel provides long-lasting protection. -Easy grip -Slim frame ULTRA-CLEAR - transparent case body reveals and enhances the original color and design of the iPhone Wireless Charger Compatible. Free Shipping!,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",8.0
iphone 6/6s Unicorn Case Shipping. No description yet,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",10.0
Ugg W Bailey Button Triplet Brand is UGG Australia.  Shipping. Tall triple button black size 6. Worn only one time around the house. Paid [rm] for them.,Women/Shoes/Boots,80.0
NWOT Coach Signature Peyton Wallet Brand is Coach. The retail price of this wallet is [rm] ! It's 100% authentic . This wallet has 14 card slots and 3 slip pockets. I've used the wallet twice and it just too big for me . So I've decided to sale it .,Women/Women's Accessories/Wallets,44.0
Styrofoam Craft Beads Shipping. Bag of styrofoam Balls Size 478 ml New in a sealed bad,Kids/Toys/Arts & Crafts,7.0
Lululemon energy exhale bra sz 4 Brand is Lululemon. Excellent used condition. bra sz 4.,Women/Athletic Apparel/Sports Bras,29.0
Women's Nike running shirt size medium Brand is Nike. No holes or tears but the item has been used,Women/Athletic Apparel/Shorts,11.0
Beach flip flops Brand is Target. No description yet,Women/Shoes/Sandals,11.0
"BBW Beach Nights set, NWT Brand is Bath & Body Works.  Shipping. Bath and Body Works 3 oz shower gel and 3 oz lotion set in the scent Beach Nights, NWT! Each item retails [rm], so my asking price is very reasonable considering this set is limited edition and I'm paying shipping. Just trying to clean out my stash, nothing wrong with the items.",Beauty/Skin Care/Body,14.0
Kendall and Kylie Distressed Low Rise Brand is Kardashian Kollection. Never worn. Wrinkles are due to the fact they've been sitting in my closet since I bought them last year lol. They will stretch out to your fit.,"Women/Jeans/Slim, Skinny",13.0
"American girl doll shoes Brand is American Girl ®. Absolutely adorable American girl doll shoes, pink crochet tie up, never used! Please feel free to bundle with other AG items & bundle me for price to save on shipping, thx!",Kids/Toys/Dolls & Accessories,16.0
Puppy smile Shipping. No description yet,Women/Other/Other,13.0
Panda Pillow Pet Brand is Pillow Pets. Well loved with plenty of life. Velcro works well. Tag well worn. DEAL ALERT- Add to any bundle for just [rm] more!,Kids/Toys/Stuffed Animals & Plush,12.0
"Bundle for Rose Shipping. Brand new Purple Polymailers Lightweight XL polymailers Water proof & tear proof Measures to 12x15.5 inches With self adhesive seal 40 PACK Add 25 stickers to any listing for just [rm] (50 for [rm], 75 for [rm], 110 for [rm]) Available stickers for add on: 1in. White Thank You 1in. Kraft Thank You 1x2in. Pink Fragile",Other/Office supplies/Shipping Supplies,14.0
Toms wedges Brand is TOMS. No description yet,Women/Shoes/Pumps,31.0
"Comparable Coffee Hardness Filter 2 Pack Shipping. Brita Intenza Plus IZ-2219 Comparable Coffee Hardness Filter 2 Pack Fits most siemens / bosch / neff/ miele/ saeco/ gaggia/ lavazza.coffee espresso machines Extends the life of your system by preventing limescale buildup For maximum performance, replace filter every 3 months or 70 brewing cycles Cost effective alternative to the OEM Reduces limescale, chlorine and impurities for cleaner, clearer, great tasting drinks Non OEM ***",Home/Kitchen & Dining/Coffee & Tea Accessories,13.0
"Under Armour Purple Running Shorts M Brand is Under Armour. Used condition. No flaws except there is piling on the inside of the Shorts, you can't see this when they are being worn. Size Medium. I love to bundle and give great discounts, just let me know what you like and we can work out an awesome deal!",Women/Athletic Apparel/Shorts,7.0
brandy melville oversized grey v-neckbrandy melville oversized grey v-neck -bought on here a while ago -super comfy for sleeping and cute for wearing! -minor pilling -good quality otherwise ^^,Women/Tops & Blouses/T-Shirts,10.0
Beaded Black Prom Dress Brand is Hailey Logan. Hailey Logan By Adrianna Papell Prom Dress. Beautiful Beading. Built In Bra. Open Criss Cross Back. Worn Only Once. Size 13/14.,Women/Dresses/Full-Length,66.0
"NWT American Apparel dark blue skinny 27 Brand is American Apparel. Gorgeous dark blue skinny jeans with a true high waist and slim fit. Covers my belly button. Length is much longer than ideal for me at 5'2"". Would be great for someone who is at least 5'4"". The dark wash without any fading or distressing makes these perfect for dressing up with heels and a nice top. But these can easily be worn with a t shirt and tennis shoes. Brand new with tag. Help me declutter!!","Women/Jeans/Slim, Skinny",54.0
Victoria Secret Sweatshirt New Large Brand is Victoria's Secret.  Shipping. Brand new! Paid [rm] Open back,Women/Sweaters/Hooded,20.0
"PINK sweatshirt Brand is PINK. PRICE AND SHIPPING ARE FIRM! good condition, no stains, rips, or piling.",Women/Sweaters/Hooded,21.0
"Kendra Scott Abalone Elle Earrinns Brand is Kendra Scott. Brand new. Never used, don't come with backs or bag!",Women/Jewelry/Earrings,40.0
Bbw gingerbread latte Brand is Bath & Body Works. New Never used Big bottles Shimmer fizz Hand soap Body cream Body spray,Beauty/Skin Care/Body,36.0
"Levi's 518 Brand is Levi's®.  Shipping. Levi's Style: 518 Super Low Boot Cut Size: 9 Long (Waist: 29"", Length: 33.5"") Dark wash denim Excellent, like-new condition! Free Shipping!!!",Women/Jeans/Boot Cut,10.0
"Blackhead & Zit Tool Remover Pink Shipping. *****Please Read Before Purchasing***** Blackhead, Zit, and Acne Tool Remover Brand New 1x Blackhead Tool Remover Colors Available -Blue ( AVAILABLE ) -Pink ( AVAILABLE ) Mix and Match 1x Blackhead Tool Remover For [rm] 2x Blackhead Tool Remover For [rm] Also available Blackhead remover liquid Mask in my store*** Check out my store for more products :) I ship via USPS with tracking** Prices are Firm (Please Don't Make Any Offers) (I only give discounts on Bundles)",Beauty/Skin Care/Face,6.0
"AEO button up flannel Brand is American Eagle. So cute tucked into hi waisted jeans . Has a couple pulled threads and little holes forming in the fabric , I'm not sure if it was like that when I bought it or not but it has a distressed look to it . Over all it's very wam and soft . Selling so cheap because of flaws .",Women/Tops & Blouses/Button Down Shirt,9.0
"OS LuLaRoe leggings Brand is Independent.  Shipping. Grey, green, and blue OS lularoe leggings. Worn once and washed with lularoe standards.",Women/Jeans/Leggings,18.0
BNWOT:Red Corduroy Trues: UNISEX 4T Brand is True Religion Brand Jeans.  Shipping. BNWOT. SIZE 4T. UNISEX TODDLERS. RED IN COLOR. SUPER CUTE!!,Women/Athletic Apparel/Jackets,29.0
Lokai bundle Shipping. Lokai bracelet Brand new Never worn Super cool Free shipping Lowest prices around 100% authentic Quick and efficent shipping within 1-2 days Thanks for looking :),Women/Jewelry/Bracelets,9.0
"3 pc set Rae Dunn Cream & Sugar with lid Brand is Rae Dunn. Creamer, sugar pot and lid. No flaws. Packed with care and shipped no later than next business day. Please read reviews! Thanks for looking",Home/Kitchen & Dining/Coffee & Tea Accessories,36.0
"Lululemon Cool Racerback Brand is Lululemon. CRB in black. Size 6. Measures 28"" in length. No piling. Perfect condition.","Women/Tops & Blouses/Tank, Cami",34.0
"Red velvet bow pumps (9) Brand is Bongo. Gorgeous heels, only worn once. Women's size 9, zips up the back (bows are for decoration, not tying). Color is not as bright as in the pics. Heel is thicker than stiletto. In great shape!",Women/Shoes/Pumps,18.0
Betsey Johnson Purse Brand is Betsey Johnson. Used. Zipper on the top is broken.,Women/Women's Handbags/Shoulder Bag,12.0
"Proactiv bundle!2 sets of the 3 step treatment. 1 set was opened but not used at all. The other set is still sealed. Plus includes dark spot corrector, never used.",Beauty/Skin Care/Face,46.0
Kate Spade orange leather tote Brand is Kate Spade. Huge orange leather tote A little worn still has A LOT of life left Has three large pockets on the inside 100% genuine Bought for [rm],Women/Women's Handbags/Totes & Shoppers,31.0
Realtree camo boots size 9Size 9 toddler realtree camo boots only worn 1 time. Great condition,Kids/Boys 2T-5T/Shoes,12.0
Pastel Purple Floral Choker Grunge Girly Shipping. This is a pastel purple / lavender velvet choker. It has a bell in the middle and little purple flowers. It's adjustable and measures about 15.5 inches.,Women/Jewelry/Necklaces,7.0
B&W Striped Maxi DressNo description yet,Women/Dresses/Full-Length,17.0
L'Oreal Infallible Make Up Foundation Brand is L'Oreal.  Shipping. Like new! Used once twice. Not my color sadly. Still tons left! Full size. L'Oréal Infallible make-up liquid foundation. Advanced never fail makeup. Shade: 603 Classic Ivory. 18 hr fights makeup meltdown! It has a convenient pump. It just wasn't my shade but the formula is great. If you have any questions let me know :) I ship out next day ❤️,Beauty/Makeup/Face,8.0
WOMAN SWEAT BELT WAIST TRAINER Shipping. 100% Brand new and high quality Neoprene Slimming Waist Belts Body Shaper Slimming training corsets Shapers Stretch Neoprene Slimming Corsets Shaper Control Specifications: Material: Neoprene laminating polyster two side Color: Black color outside and yellow color inside NEOPRENE BUTT LIFTER LATEX RUBBER WAIST TRAINER TRAINERS PADDED PANTY SWIMSUIT SUNGLASSES WOMAN MEN TUMMY CONTROL #neoprene,Sports & Outdoors/Exercise/Fitness accessories,12.0
300 Glass Rhinestone Fishnets pantyhose Shipping. Kylie Jenner inspired Black crystallized Fishnets with over 300 glass Rhinestones. .. super cute Kylie Jenner inspired Black fishnets pantyhose with Metal Rhinestones. Fishnets size height: 5-5'10 Weight:100-175lbs Hand made featuring 300 Rhinestones If you're wondering why they are so expensive I'm going to let you know why each rhinestone is made out of metal and glass these are not Plastic rhinestones and FyI glass rhinestones are very expensive especially these that are used with this tool.Each rhinestone is placed one by one with a special tool heattransfer tool How to clean or wash your fishnets. Take a little bucket with cold water turn your fishnets inside out and add a little bit of laundry detergent let them soak for 2-4 min dump the water out and rinse them with cold water put them to dry do not put them in the washing machine or dryer. Rhinestone will not come off but you might lose one or two if your rough with them.,"Women/Athletic Apparel/Pants, Tights, Leggings",16.0
Nike Free 5.0 sneakers Brand is Nike. New Nike Free 5.0 sneakers size 6.,Women/Shoes/Athletic,46.0
Kat Von D Lock It Foundation Brand is Kat Von D.  Shipping. I love this stuff! BRAND NEW NEVER SWATCHED OR TOUCHED. Only took out of box for photos. Full size at 1.0 fl oz and is the shade #49 Light Neutral. Packaged with care and honesty! TAGS Sephora smashbox urban decay too faced Tom ford becca clinique double wear palette bundle lot care skin face lush Tarte ULTA nars philosophy murad Dior mac Kylie naked jeffree star pink brandy colour pop make up for ever cover fx elf morphe stila,Beauty/Makeup/Face,25.0
"Morphe brushes 12 Brand is Sephora. Brushes will be washed before being sent. I recommend you wash before usage just in case! These are 12 brushes i never use, might have tried once",Beauty/Tools & Accessories/Makeup Brushes & Tools,17.0
Classic Super Sonic Figure Brand is Nintendo. No description yet,Kids/Toys/Action Figures & Statues,9.0
Cowgirl tuff Brown T-shirt xxlCowgirl tuff Brown new with tags T-shirt tee. Retails for [rm]. Check out my other listings. I'm happy to bundle & save on shipping. ❌no free shipping unless stated.❌,Women/Tops & Blouses/T-Shirts,19.0
"Am. Eagle jeans Brand is American Eagle.  Shipping. Medium-dark wash jeans, skinny jeans, super stretch, size 8 regular from American Eagle. Only worn a few times.","Women/Jeans/Slim, Skinny",20.0
Authentic UGG Australia boots Brand is UGG Australia. Black UGG boots! Gently used. Fashionable & perfect for cold weather. Size 8. :),Women/Shoes/Boots,39.0
New small Michael kors tshirt Brand is Michael Kors.  Shipping. No offers. New with tags red color Size - small,Women/Tops & Blouses/T-Shirts,28.0
"Ugg Moccasins Brand is UGG Australia.  Shipping. Like new condition. Bottoms are clean, barely even worn. Only imperfection is a slight suede discoloration (came this way) on the top of the right shoe. Can probably be cleaned. Size 2 kids fits women's size 5. 100% authentic please no lowballs",Women/Shoes/Boots,45.0
Jeffree star skin frost so fxcking gold Shipping. Brand new highlighter 1 included So fxcking gold,Beauty/Makeup/Face,37.0
Nike free flyknit 4.0 Brand is Nike. Used,Women/Shoes/Athletic,36.0
"Rain- Snow Boots sold to @kathyntammyThese are some cute boots that you can wear in the rain or snow!. Cheetah print with buckles on the side. 3rd pic does show a small piece of the black leather that is out of the strap on the left boot. Not to noticeable! Other than that, I have never worn these. Brand is: Call it Spring",Women/Shoes/Boots,27.0
Hollister high waisted gray shorts Brand is Hollister.  Shipping. Size 3 (26) but fits a 25 imo Washed never worn NWOT Free shipping Hollister American eagle gilly hicks Abercrombie Brandy Melville john galt forever 21 pacsun urban outfitters zara jeans warehouse boho cute chic coachella uniqlo topshop,"Women/Jeans/Slim, Skinny",13.0
Zara shoes Brand is ZARA. White and clear flat shoe. Cute and comfy,Women/Shoes/Flats,16.0
Miss me jeans Brand is Miss Me. Miss Me jeans size 26.,"Women/Jeans/Slim, Skinny",82.0
I Can Do Bad All By Myself DVD Shipping. No description yet,Electronics/Media/DVD,8.0
"Coach purse **New lower price! Brand is Coach. Lots of life left in this purse! Small stain inside, I'm sure it can be removed easily. Open to reasonable offers.",Women/Women's Handbags/Totes & Shoppers,28.0
